nome_completo,email,sexo,chapa_votada
Fernanda Pereira,fernanda.pereira0@gmail.com,Feminino,Mudança Já
Ana Pereira,ana.pereira1@gmail.com,Feminino,Escola Avante
Henrique Costa,henrique.costa2@gmail.com,Masculino,Mudança Já
Fernanda Almeida,fernanda.almeida3@gmail.com,Feminino,Mudança Já
Fernando Pereira,fernando.pereira4@gmail.com,Masculino,Mudança Já
Carlos Pereira,carlos.pereira5@gmail.com,Masculino,Escola Avante
Fernanda Oliveira,fernanda.oliveira6@gmail.com,Feminino,Mudança Já
Daniela Santos,daniela.santos7@gmail.com,Feminino,Escola Avante
Fernando Almeida,fernando.almeida8@gmail.com,Masculino,Mudança Já
Eduarda Santos,eduarda.santos9@gmail.com,Feminino,Mudança Já
Ana Pereira,ana.pereira10@gmail.com,Feminino,Mudança Já
Ana Costa,ana.costa11@gmail.com,Feminino,Escola Avante
Daniela Oliveira,daniela.oliveira12@gmail.com,Feminino,Escola Avante
Daniela Silva,daniela.silva13@gmail.com,Feminino,Escola Avante
Fernanda Silva,fernanda.silva14@gmail.com,Feminino,Escola Avante
Fernanda Santos,fernanda.santos15@gmail.com,Feminino,Mudança Já
Henrique Almeida,henrique.almeida16@gmail.com,Masculino,Mudança Já
Ana Costa,ana.costa17@gmail.com,Feminino,Mudança Já
Ana Silva,ana.silva18@gmail.com,Feminino,Escola Avante
Camila Silva,camila.silva19@gmail.com,Feminino,Mudança Já
Beatriz Almeida,beatriz.almeida20@gmail.com,Feminino,Mudança Já
Carlos Costa,carlos.costa21@gmail.com,Masculino,Mudança Já
Ana Silva,ana.silva22@gmail.com,Feminino,Escola Avante
Eduarda Oliveira,eduarda.oliveira23@gmail.com,Feminino,Escola Avante
Ana Pereira,ana.pereira24@gmail.com,Feminino,Mudança Já
Daniela Oliveira,daniela.oliveira25@gmail.com,Feminino,Mudança Já
Carlos Almeida,carlos.almeida26@gmail.com,Masculino,Mudança Já
Ana Oliveira,ana.oliveira27@gmail.com,Feminino,Escola Avante
Fernanda Costa,fernanda.costa28@gmail.com,Feminino,Escola Avante
Carlos Pereira,carlos.pereira29@gmail.com,Masculino,Escola Avante
Henrique Oliveira,henrique.oliveira30@gmail.com,Masculino,Mudança Já
Igor Silva,igor.silva31@gmail.com,Masculino,Mudança Já
Fernanda Silva,fernanda.silva32@gmail.com,Feminino,Escola Avante
Gabriel Almeida,gabriel.almeida33@gmail.com,Masculino,Escola Avante
Fernanda Pereira,fernanda.pereira34@gmail.com,Feminino,Mudança Já
Carlos Santos,carlos.santos35@gmail.com,Masculino,Escola Avante
Gabriel Santos,gabriel.santos36@gmail.com,Masculino,Escola Avante
Fernando Oliveira,fernando.oliveira37@gmail.com,Masculino,Mudança Já
Henrique Santos,henrique.santos38@gmail.com,Masculino,Escola Avante
Gabriel Almeida,gabriel.almeida39@gmail.com,Masculino,Escola Avante
Ana Oliveira,ana.oliveira40@gmail.com,Feminino,Mudança Já
Eduardo Silva,eduardo.silva41@gmail.com,Masculino,Escola Avante
Igor Oliveira,igor.oliveira42@gmail.com,Masculino,Mudança Já
Daniela Pereira,daniela.pereira43@gmail.com,Feminino,Escola Avante
Beatriz Pereira,beatriz.pereira44@gmail.com,Feminino,Mudança Já
Eduardo Almeida,eduardo.almeida45@gmail.com,Masculino,Escola Avante
Daniela Almeida,daniela.almeida46@gmail.com,Feminino,Mudança Já
Eduardo Almeida,eduardo.almeida47@gmail.com,Masculino,Mudança Já
Fernando Oliveira,fernando.oliveira48@gmail.com,Masculino,Escola Avante
Eduardo Oliveira,eduardo.oliveira49@gmail.com,Masculino,Escola Avante
Fernanda Silva,fernanda.silva50@gmail.com,Feminino,Mudança Já
Eduardo Costa,eduardo.costa51@gmail.com,Masculino,Escola Avante
Fernanda Oliveira,fernanda.oliveira52@gmail.com,Feminino,Mudança Já
Henrique Almeida,henrique.almeida53@gmail.com,Masculino,Mudança Já
Ana Pereira,ana.pereira54@gmail.com,Feminino,Escola Avante
Igor Santos,igor.santos55@gmail.com,Masculino,Mudança Já
Carlos Silva,carlos.silva56@gmail.com,Masculino,Escola Avante
Fernanda Costa,fernanda.costa57@gmail.com,Feminino,Mudança Já
Camila Almeida,camila.almeida58@gmail.com,Feminino,Mudança Já
Igor Silva,igor.silva59@gmail.com,Masculino,Escola Avante
Eduarda Costa,eduarda.costa60@gmail.com,Feminino,Mudança Já
Beatriz Pereira,beatriz.pereira61@gmail.com,Feminino,Mudança Já
Fernanda Santos,fernanda.santos62@gmail.com,Feminino,Escola Avante
Gabriel Santos,gabriel.santos63@gmail.com,Masculino,Escola Avante
Eduardo Santos,eduardo.santos64@gmail.com,Masculino,Mudança Já
Igor Silva,igor.silva65@gmail.com,Masculino,Mudança Já
Eduarda Silva,eduarda.silva66@gmail.com,Feminino,Mudança Já
Henrique Santos,henrique.santos67@gmail.com,Masculino,Escola Avante
Igor Santos,igor.santos68@gmail.com,Masculino,Mudança Já
Igor Santos,igor.santos69@gmail.com,Masculino,Mudança Já
Eduardo Almeida,eduardo.almeida70@gmail.com,Masculino,Mudança Já
Beatriz Pereira,beatriz.pereira71@gmail.com,Feminino,Mudança Já
Eduarda Pereira,eduarda.pereira72@gmail.com,Feminino,Mudança Já
Fernando Silva,fernando.silva73@gmail.com,Masculino,Mudança Já
Camila Santos,camila.santos74@gmail.com,Feminino,Mudança Já
Daniela Oliveira,daniela.oliveira75@gmail.com,Feminino,Mudança Já
Eduardo Costa,eduardo.costa76@gmail.com,Masculino,Escola Avante
Camila Oliveira,camila.oliveira77@gmail.com,Feminino,Mudança Já
Gabriel Silva,gabriel.silva78@gmail.com,Masculino,Escola Avante
Daniela Silva,daniela.silva79@gmail.com,Feminino,Mudança Já
Henrique Santos,henrique.santos80@gmail.com,Masculino,Escola Avante
Carlos Almeida,carlos.almeida81@gmail.com,Masculino,Escola Avante
Carlos Oliveira,carlos.oliveira82@gmail.com,Masculino,Mudança Já
Ana Pereira,ana.pereira83@gmail.com,Feminino,Escola Avante
Daniela Silva,daniela.silva84@gmail.com,Feminino,Mudança Já
Igor Santos,igor.santos85@gmail.com,Masculino,Mudança Já
Daniela Almeida,daniela.almeida86@gmail.com,Feminino,Mudança Já
Ana Oliveira,ana.oliveira87@gmail.com,Feminino,Mudança Já
Eduardo Almeida,eduardo.almeida88@gmail.com,Masculino,Mudança Já
Fernanda Santos,fernanda.santos89@gmail.com,Feminino,Escola Avante
Camila Pereira,camila.pereira90@gmail.com,Feminino,Escola Avante
Eduardo Silva,eduardo.silva91@gmail.com,Masculino,Mudança Já
Fernando Costa,fernando.costa92@gmail.com,Masculino,Escola Avante
Daniela Silva,daniela.silva93@gmail.com,Feminino,Mudança Já
Fernanda Pereira,fernanda.pereira94@gmail.com,Feminino,Escola Avante
Ana Oliveira,ana.oliveira95@gmail.com,Feminino,Mudança Já
Gabriel Costa,gabriel.costa96@gmail.com,Masculino,Mudança Já
Igor Santos,igor.santos97@gmail.com,Masculino,Escola Avante
